地点,一号门,二号门,C4教学楼,教学2楼,图书馆,行政楼,院士楼,环境科学与工程学院,外国语学院,电子与信息工程学院,化学与生物工程学院,逸夫楼,塔影阁,二食堂,三食堂,东区食堂,校医院,东区宿舍,南区宿舍,传媒与视觉艺术学院,西区快递点,东区快递点,足球场,体育馆1,西区宿舍4组团,员工宿舍,西区宿舍3组团,西区宿舍2组团,西区宿舍5组团,西区宿舍1组团,环境生物技术研究所,C5教学楼,C6教学楼,地理科学与测绘工程学院,商学院,体育馆2,师陶园,学宿3,学宿8,音乐厅,社会发展与公共管理学院,教学4楼,教学5楼,教学3楼,教学6楼,教学7楼,敬文书院
一号门,,,,,,180,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,200,,,,,,,,
二号门,,,,,,,,105,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,
C4教学楼,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,60,,100,,,,,,,,,,,,,
教学2楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,100,,70,,,
图书馆,,,,,,280,,,,,,,280,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政楼,180,,,,280,,,,,,,,,,70,,250,,,,,530,,100,,,,,,,,,,,,,,,90,,,,,,,,
院士楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,120,100,100,80,,,,
环境科学与工程学院,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,90,,160,,,,,,,,,,,,,,
外国语学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,60,60,,,,,,,,,,,,
电子与信息工程学院,,,,,,,,,,,55,35,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,
化学与生物工程学院,,,,,,,,,,55,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
逸夫楼,,,120,,,,,,,35,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塔影阁,,,,,280,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,300,,
二食堂,,,,,,,,,,,,,,,,,,,,,200,,,,,,,100,90,,,,,,,,,,,,,,,,,,
三食堂,,,,,,70,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,50,,,,,,,,,,
东区食堂,,,,,,,,,,,,,,,,,,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,140
校医院,,,,,,250,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,80,,,,
东区宿舍,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
南区宿舍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,70,70,,
传媒与视觉艺术学院,,,,,180,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,50,
西区快递点,,,,,,,,,,,,,,200,,,,,,,,,170,,,,,,,70,,,,,,,,,,,,,,,,,
东区快递点,330,,,,,530,,,,,,,600,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
足球场,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,180,,,,,,,150,,,,,,,,,,,
体育馆1,,,,,,100,,,,,,,,,50,,,,,,,,,,,,,,,,,,,110,,,,,70,,,,,,,,
西区宿舍4组团,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,70,,,,,,,,,,,,,,,,,,
员工宿舍,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,
西区宿舍3组团,,,,,,,,,,,,,,,,,,,,,,,,,,100,,60,,,,,,,,,,,,,,,,,,,
西区宿舍2组团,,110,,,,,,,,,,,,100,,,,,,,,,,,,,60,,,80,,,,,,,,,,,,,,,,,
西区宿舍5组团,,,,,,,,,,,,,,90,,,,,,,,,180,,70,,,,,,,,,,,,,,,,,,,,,,
西区宿舍1组团,,,,,,,,230,,,,,,,,,,,,,70,,,,,,,80,,,,,180,,,,,,,,,,,,,,
环境生物技术研究所,,,,,,,,90,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5教学楼,,,60,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,
C6教学楼,,,,,,,,160,,,,,,,,,,,,,300,,,,,,,,,180,,60,,,100,,,,,,,,,,,,
地理科学与测绘工程学院,,,100,,,,,,60,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,
商学院,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,
体育馆2,,,,,,,,,,,,,,,,,,,400,,,,160,,,,,,,,,,,,,,,,,,260,,,,,,
师陶园,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,60,,,,,180,,,,
学宿3,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,200,,,170,,,,
学宿8,200,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,
音乐厅,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,60,,,,,,
社会发展与公共管理学院,,,,60,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,60,,100,,,,,
教学4楼,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,80,70,,120,
教学5楼,,,,,,,80,,,,,,,,,,80,,,80,,,,,,,,,,,,,,,,,180,170,,,,80,,,,150,
教学3楼,,,,70,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,70,,,40,,
教学6楼,,,,,,,,,,,,,300,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,80,
教学7楼,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,120,150,,80,,
敬文书院,,,,,,,,,,,,,,,,140,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,